BLJAPNOD_01899	smc01586
BLJAPNOD_02230	smc04350
BLJAPNOD_03630	smc00056
BLJAPNOD_03509	smc02557
BLJAPNOD_04079	smc03013
BLJAPNOD_02589	smc04225
BLJAPNOD_00182	smc01090
BLJAPNOD_00128	sma2331
BLJAPNOD_03924	smc00924
BLJAPNOD_02790	smc01233
BLJAPNOD_03488	smc00555
BLJAPNOD_01219	smc04010
BLJAPNOD_05307	smb21040
BLJAPNOD_02548	smc04245
BLJAPNOD_03760	smc00023
BLJAPNOD_04615	smb21272
BLJAPNOD_02566	smc04231
BLJAPNOD_00543	smc04115
BLJAPNOD_01377	smc00691
BLJAPNOD_05033	smb21524
BLJAPNOD_04050	smc03042
BLJAPNOD_03371	smc01795
BLJAPNOD_00538	smc04110
BLJAPNOD_02545	smc04246
BLJAPNOD_01150	smc03939
BLJAPNOD_01371	smc00684
BLJAPNOD_01375	smc00689
BLJAPNOD_03822	smc00973
BLJAPNOD_02116	smc01883
BLJAPNOD_03264	smc01336
BLJAPNOD_03986	smc00785
BLJAPNOD_03623	smc00059
BLJAPNOD_02709	smc00482
BLJAPNOD_04063	smc03029
BLJAPNOD_00889	smc02475
BLJAPNOD_00875	smc03234
BLJAPNOD_01915	smc01567
BLJAPNOD_01065	smc03203
BLJAPNOD_00251	smc01167
BLJAPNOD_03622	smc00060
BLJAPNOD_06628	smc01200
BLJAPNOD_05024	smb21487
BLJAPNOD_00418	smc00332
BLJAPNOD_02053	smc01575
BLJAPNOD_03505	smc02553
BLJAPNOD_03937	smc00824
BLJAPNOD_05353	smb21520
BLJAPNOD_00437	smc02914
BLJAPNOD_00164	smc01721
BLJAPNOD_02668	smc00174
BLJAPNOD_01996	smc01645
BLJAPNOD_02817	smc01213
BLJAPNOD_00196	smc01104
BLJAPNOD_03028	smc02069
BLJAPNOD_04057	smc03035
BLJAPNOD_01308	smc02941
BLJAPNOD_03550	smc02396
BLJAPNOD_00110	smc02139
BLJAPNOD_00351	smc00378
BLJAPNOD_03379	smc01787
BLJAPNOD_02638	smc00153
BLJAPNOD_03060	smc02102
BLJAPNOD_02137	smc01454
BLJAPNOD_03590	smc02375
BLJAPNOD_03548	smc02403
BLJAPNOD_00784	smc03808
BLJAPNOD_03834	smc00983
BLJAPNOD_00818	smc03784
BLJAPNOD_06191	smb20769
BLJAPNOD_00230	smc01139
BLJAPNOD_04156	smb20720
BLJAPNOD_03158	smc01003
BLJAPNOD_02498	smc04282
